date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Tue Mar 25,Jamaica,St Vincent & Grenadines,CONCACAF Champ qual in Jamaica,66 167,1572 1133,96% 4%,2025-02-26
Tue Mar 25,Martinique,Suriname,CONCACAF Champ qual in Martinique,98 122,1417 1357,72% 28%,2025-02-26
Tue Mar 25,Nicaragua,Guadeloupe,CONCACAF Champ qual in Nicaragua,119 129,1363 1336,68% 32%,2025-02-26
Tue Mar 25,Trinidad and Tobago,Cuba,CONCACAF Champ qual in Trinidad and Tobago,108 144,1398 1281,78% 22%,2025-02-26
Wed Jun 4,Chile,Argentina,World Cup qualifier in Chile,39 2,1728 2107,17% 83%,2025-02-26
Wed Jun 4,Colombia,Peru,World Cup qualifier in Colombia,7 41,1979 1723,89% 11%,2025-02-26
Wed Jun 4,Ecuador,Brazil,World Cup qualifier in Ecuador,12 5,1910 1997,52% 48%,2025-02-26
Wed Jun 4,Paraguay,Uruguay,World Cup qualifier in Paraguay,29 9,1774 1949,39% 61%,2025-02-26
Wed Jun 4,Venezuela,Bolivia,World Cup qualifier in Venezuela,37 50,1735 1659,73% 27%,2025-02-26
Wed Jun 4,Barbados,Aruba,World Cup qualifier in Barbados,190 200,950 903,70% 30%,2025-02-26
Wed Jun 4,Bermuda,Cayman Islands,World Cup qualifier in Bermuda,165 208,1143 829,92% 8%,2025-02-26
Wed Jun 4,Dominica,British Virgin Islands,World Cup qualifier in Dominica,188 228,980 627,93% 7%,2025-02-26
Wed Jun 4,Grenada,Bahamas,World Cup qualifier in Grenada,179 210,1065 794,89% 11%,2025-02-26
Wed Jun 4,Montserrat,Belize,World Cup qualifier in Montserrat,189 175,952 1094,44% 56%,2025-02-26
Wed Jun 4,St Vincent & Grenadines,Anguilla,World Cup qualifier in St Vincent & Grenadines,167 229,1133 623,97% 3%,2025-02-26
Thu Jun 5,Australia,Japan,World Cup qualifier in Australia,43 13,1718 1888,40% 60%,2025-02-26
Thu Jun 5,Bahrain,Saudi Arabia,World Cup qualifier in Bahrain,77 75,1528 1535,63% 37%,2025-02-26
Thu Jun 5,Indonesia,China,World Cup qualifier in Indonesia,134 101,1317 1410,51% 49%,2025-02-26
Thu Jun 5,Iraq,South Korea,World Cup qualifier in Iraq,62 31,1582 1773,37% 63%,2025-02-26
Thu Jun 5,Kuwait,Palestine,World Cup qualifier in Kuwait,127 104,1337 1406,54% 46%,2025-02-26
Thu Jun 5,North Korea,Kyrgyzstan,World Cup qualifier in North Korea,106 145,1403 1278,79% 21%,2025-02-26
Thu Jun 5,Oman,Jordan,World Cup qualifier in Oman,80 54,1511 1618,49% 51%,2025-02-26
Thu Jun 5,Qatar,Iran,World Cup qualifier in Qatar,78 18,1525 1837,23% 77%,2025-02-26
Thu Jun 5,United Arab Emirates,Uzbekistan,World Cup qualifier in the United Arab Emirates,76 49,1532 1681,43% 57%,2025-02-26
Fri Jun 6,Czechia,Montenegro,World Cup qualifier in Czechia,35 79,1754 1521,87% 13%,2025-02-26
Fri Jun 6,Estonia,Israel,World Cup qualifier in Estonia,116 58,1377 1601,33% 67%,2025-02-26
Fri Jun 6,North Macedonia,Belgium,World Cup qualifier in North Macedonia,56 17,1611 1851,31% 69%,2025-02-26
Fri Jun 6,Wales,Liechtenstein,World Cup qualifier in Wales,38 197,1733 914,99.5% 0.5%,2025-02-26
Fri Jun 6,Bulgaria,Cyprus,Friendly in Bulgaria,84 137,1486 1302,84% 16%,2025-02-26
Fri Jun 6,Hungary,Sweden,Friendly in Hungary,27 36,1779 1745,68% 32%,2025-02-26
Fri Jun 6,Luxembourg,Slovenia,Friendly in Luxembourg,91 40,1445 1727,26% 74%,2025-02-26
Fri Jun 6,Russia,Nigeria,Friendly in Russia,25 71,1788 1553,87% 13%,2025-02-26
Fri Jun 6,Scotland,Iceland,Friendly in Scotland,34 65,1760 1576,84% 16%,2025-02-26
